"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Malik Willis","TEN","22.3","13.8","151.7","0.9","0.9","2.0","11.2","0.1","0.1","9.8"
"C.J. Beathard","JAC","23.4","14.5","160.7","1.1","0.6","1.5","6.4","0.0","0.7","9.7"
"Case Keenum","BUF","19.3","12.2","146.6","1.0","0.5","1.2","3.9","0.1","0.1","9.7"
"Kyle Trask","TB","22.0","13.0","134.0","1.0","0.0","1.0","3.0","0.0","0.0","9.7"
"Jarrett Stidham","LV","20.7","13.6","147.0","0.9","0.7","2.1","5.4","0.0","0.1","9.5"
"Sean Mannion","MIN","19.0","11.3","127.8","1.0","0.4","1.6","5.9","0.0","0.2","9.1"
"John Wolford","LAR","19.2","11.9","134.2","0.8","0.4","2.0","8.4","0.0","0.1","9.0"
"Brandon Allen","CIN","17.5","11.1","139.9","0.8","0.5","1.4","4.9","0.0","0.1","8.6"
"Tim Boyle","DET","21.2","13.0","138.8","0.8","0.6","1.4","5.4","0.0","0.1","8.6"
"Nick Foles","IND","17.1","11.0","120.1","0.9","0.5","1.6","7.0","0.0","0.1","8.5"
"Brett Rypien","DEN","15.3","9.3","107.3","1.0","0.3","1.0","2.7","0.0","0.0","8.2"
"Sam Howell","WAS","16.4","10.0","109.2","0.8","0.5","2.0","8.8","0.1","0.1","8.1"
"Chase Daniel","LAC","18.5","11.4","125.6","0.8","0.4","1.5","4.6","0.0","0.2","8.1"
"Chad Henne","KC","15.5","9.9","109.0","0.9","0.6","1.8","4.3","0.0","0.2","7.4"
"Nate Sudfeld","SF","14.7","9.2","101.6","0.7","0.5","1.8","7.2","0.1","0.3","7.3"
"Joshua Dobbs","CLE","11.6","8.0","68.7","0.6","0.1","2.7","12.3","0.0","0.0","6.2"
"Nick Mullens","LV","16.3","10.5","121.5","0.8","0.5","1.0","1.3","0.0","1.0","5.5"
"Mike White","NYJ","11.0","6.5","72.5","0.5","0.5","2.0","1.5","0.0","0.0","4.6"
"Kellen Mond","MIN","10.0","5.5","53.0","0.5","0.0","0.5","2.0","0.0","0.0","4.3"
"Nathan Peterman","CHI","7.5","4.0","45.0","0.5","0.5","2.0","9.0","0.0","0.0","4.2"
"John Lovett","MIA","0.0","0.0","0.0","0.0","0.0","0.0","37.3","0.1","0.0","4.0"
"Sam Ehlinger","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Feleipe Franks","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Logan Woodside","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ian Book","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Will Grier","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Matt Barkley","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Easton Stick","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ryan Griffin","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"David Blough","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeff Driskel","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Eason","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Davis Webb","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jake Luton","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"P.J. Walker","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Streveler","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
