"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Case Keenum","BUF","18.9","11.9","134.2","1.0","0.4","1.0","4.1","0.0","0.1","9.2"
"Blaine Gabbert","TB","21.2","13.2","145.6","1.0","0.4","1.0","3.6","0.0","0.3","9.2"
"Tim Boyle","DET","22.5","13.8","148.3","0.9","0.8","1.6","6.0","0.0","0.1","9.0"
"Brett Rypien","DEN","17.5","10.5","122.0","1.0","0.5","1.5","4.0","0.0","0.0","8.8"
"Sean Mannion","MIN","19.4","11.2","126.2","0.9","0.6","1.9","6.8","0.0","0.1","8.5"
"Jarrett Stidham","LV","19.9","12.9","139.4","0.8","0.7","1.8","4.1","0.0","0.1","8.4"
"John Wolford","LAR","19.5","12.0","133.3","0.7","0.5","2.1","9.0","0.0","0.1","8.2"
"Nick Foles","IND","17.5","11.2","121.3","0.8","0.7","1.6","7.6","0.0","0.1","8.1"
"Chad Henne","KC","18.8","12.0","131.4","0.8","0.5","1.9","4.3","0.0","0.2","8.1"
"Matt Corral","CAR","19.5","11.8","126.4","0.8","0.8","1.1","4.1","0.0","0.1","8.0"
"Brandon Allen","CIN","16.9","10.7","121.5","0.7","0.5","1.4","5.7","0.0","0.1","7.5"
"Chase Daniel","LAC","17.5","10.7","118.6","0.7","0.5","1.4","4.2","0.0","0.1","7.2"
"Joshua Dobbs","CLE","12.2","8.3","72.0","0.6","0.1","2.6","12.4","0.0","0.0","6.4"
"Nate Sudfeld","SF","14.1","8.7","95.2","0.6","0.5","0.6","2.4","0.0","0.2","5.7"
"Mason Rudolph","PIT","13.5","8.5","81.0","0.5","0.5","2.0","7.5","0.0","0.0","5.5"
"Nick Mullens","LV","15.7","10.0","115.3","0.7","0.7","1.3","1.7","0.0","1.0","4.8"
"Mike White","NYJ","11.0","6.5","72.5","0.5","0.5","2.0","1.5","0.0","0.0","4.6"
"Kellen Mond","MIN","10.0","5.5","52.5","0.5","0.0","0.5","2.0","0.0","0.0","4.3"
"Nathan Peterman","CHI","7.5","4.0","45.0","0.5","0.5","2.0","9.0","0.0","0.0","4.2"
"Sam Howell","WAS","7.8","4.7","51.7","0.3","0.3","0.5","2.0","0.0","0.1","3.3"
"P.J. Walker","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sam Ehlinger","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Logan Woodside","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Feleipe Franks","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Will Grier","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ian Book","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Easton Stick","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"David Blough","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Matt Barkley","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Eason","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ryan Griffin","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeff Driskel","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jake Luton","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Davis Webb","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
